# ENR Data File
# Created by N8973A Agilent NFA Series Noise Figure Analyzer
# Serial Number US00000012 Firmware Revision A.00.01
# 13:37:07 Mar 28, 2000
# Format is: Frequency (Hz), ENR (dB)
[Filetype ENR]
[Version 1.0]
10000000;15.3500
100000000;15.4230
1000000000;15.2280
2000000000;15.0900
3000000000;14.9600
4000000000;14.8400
5000000000;14.7890
6000000000;14.7500
7000000000;14.7720
8000000000;14.8570
9000000000;14.9580
10000000000;15.0600
11000000000;15.0830
12000000000;15.1950
13000000000;15.2710
14000000000;15.3430
15000000000;15.4800
16000000000;15.6750
17000000000;15.8400
18000000000;15.8940
